address,staking_contract,network,name
0x5fCA4cBdC182e40aeFBCb91AFBDE7AD8d3Dc18a8,0x,gchain,swapr_gno_weth
0xD7b118271B1B7d26C9e044Fc927CA31DccB22a5a,0x9f2EFFE1a170c0E69D71D31fe6eD45B0daC8F978,gchain,swapr_gno_wxdai
0x70DD56a095df9E6735173A65B87e7c1A17Bc5ec2,0x1627C902Aa93c938eb9F34143B262690f2C2Ef25,gchain,swapr_gno_stake
0x0f9d54d9ee044220a3925f9b97509811924fd269,0xdDCbf776dF3dE60163066A5ddDF2277cB445E0F3,gchain,sushi_gno_wxdai
0x15f9eedeebd121fbb238a8a0cae38f4b4a07a585,0x,gchain,sushi_gno_weth
0x321704900d52f44180068caa73778d5cd60695a6,0x,gchain,honey_gno_wxdai
0x28dbd35fd79f48bfa9444d330d14683e7101d817,0x,gchain,honey_gno_weth
0xac16c751f4c719a7ad54081a32ab0488b56f0ef4,0x,gchain,honey_gno_crv
0x24a208cf21e043090b0dbec71f43f51f2fde7619,0x5894386ba883c4b6c4a404fa64ea7471b8aede0c,gchain,elk_gno_elk
0x53ed0c2c6bb944d9421528e1abd1e042b330696b,0x,gchain,symmetric_gno_weth
0x34fa946a20e65cb1ac466275949ba382973fde2b,0x,gchain,symmetric_gno_agve
0xf4c0dd9b82da36c07605df83c8a416f11724d88b,0x,mainnet,balancer_v2_gno_weth
0x148ce9b50be946a96e94a4f5479b771bab9b1c59,0x,mainnet,balancer_v2_gno_mixed
0x41328fdba556c8c969418ccccb077b7b8d932aa5,0xc2EdaD668740f1aA35E4D8f227fB8E17dcA888Cd,mainnet,sushi_gno_weth
