token_id,factor,event
4437,2,Testing Session 23/7
4813,2,Testing Session 30/7
5182,2,Testing Session 6/8
6102,4,SC Deployment 24h Special Mainnet
6103,1,SC Deployment 24h Special xDai
6457,2,Testing Session 27/8
6739,50,CowStar August
6887,2,Testing Session 3/9
7330,1,Testing Session 10/9
8092,1,Testing Session 17/9
8824,1,Testing Session 24/9
9533,50,CowStar September
11743,20,UX Participants 
12420,50,Picasso Winner
12654,50,CowStar October
13346,10,Batch Challenge Winner 5/11
15296,10,Coffee Challenge Winner 19/11
15311,10,Squid
15739,10,Batch Challenge Winner 26/11
18465,50,CowStar November
21839,10,Batch Challenge Winner 17/12
22201,50,CowStar December
